Post,Group,Date
Olamgroup,everest,44:05.9
GMX,blackbyte,17:21.7
studiobarba.com,LockBit3.0,06:50.7
ruffinlawyers.com.au,LockBit3.0,06:49.0
robitgroup.com,LockBit3.0,06:47.1
pinjuhlaw.com,LockBit3.0,06:45.4
orioninc.com,LockBit3.0,06:40.8
destinationhope.com,LockBit3.0,06:38.8
barrydowd.com,LockBit3.0,06:36.9
Engine Power,lorenz,06:18.1
Apex,blackbyte,06:15.9
Bombardier Recreational Products (BRP),ransomexx,15:06.1
Announcement. Action Lab File-tree,ragnarlocker,14:54.9
DESFA - Pipeline company LEAK,ragnarlocker,12:21.3
"Moskowitz, Mandell & Salim, P.A.",quantum,12:50.1
Northern Contours Inc.,lorenz,17:18.4
northwestpipe.com,LockBit3.0,10:14.9
SOUTH-STAFFS-WATER.CO.UK FILES PART1 - 10.80.74.230\ PUBLISHED,clop,16:34.6
PRICEDEX.COM FILES PART13 - 10.0.10.1\E$\Shares\projects\Marketing and Business\Opticat\ P,clop,16:32.2
NEWCOURSECC.COM FILES PART14 - 10.168.0.7\Datastore\FTP_Archive\ PUBLISHED,clop,16:30.5
ORBITELECTRIC.COM FILES PART20 - 192.168.10.122\C$\Users\RAMONH\Desktop\Kashmal\ PUBLISHED,clop,16:29.1
FERRAN-SERVICES.COM FILES PART13 - D\Company\ PUBLISHED,clop,16:27.6
SPINNEYS.COM FILES PART5 - 10.20.50.10\F$\Retail_Finance\Private\SKN\COMMON\EXPENSES(EJ)\S,clop,16:25.9
LATOURNERIE-WOLFROM.COM FILES PART13 - 10.100.57.131\C$\Users\CW\Documents\ PUBLISHED,clop,16:24.4
FTSUMNERK12.COM FILES PART13 - 192.168.0.244\StudentShare\GATE\Fikany YB\ PUBLISHED,clop,16:22.5
APPLEXUS.COM FILES PART5 - 192.168.3.15\D$\COMPANIES\Applexus Technologies PUBLISHED,clop,16:19.8
Family Medicine Centers,Vice Society,14:01.7
BSA Hospice of the Southwest,Vice Society,13:58.2
*.algotrader.com,icefire,50:02.1
*.bestservers.pro,icefire,50:00.7
*.iperactive.com.ar,icefire,49:59.1
*.cco1.com,icefire,49:57.5
*.vps-vds.com,icefire,49:55.8
*.guneshosting.com,icefire,49:54.2
*.kodhosting.com,icefire,49:52.6
*.kru.ac.th,icefire,49:50.9
*.directfn.net,icefire,49:46.7
*.feesh.ch,icefire,49:45.1
*.skifgroup.com,icefire,49:42.4
Greece pipeline company breached - DESFA,ragnarlocker,42:09.6
Reiter Affiliated Companies,hiveleak,54:14.4
PROSOL,Vice Society,38:25.1
Shaw & Slavsky,quantum,38:20.8
Department of Indre-et-Loire,Vice Society,50:42.7
Consejo Superior de,Vice Society,50:40.7
wabteccorp.com,LockBit3.0,56:20.2
traveldoc.ca,LockBit3.0,56:18.4
entrust.com,LockBit3.0,56:15.5
megal.com,LockBit3.0,05:21.0
An British Financial Company -Public,cheers,58:13.2
WOOTTON ACADEMY TRUST,hiveleak,58:08.7
File-tree of Tang Capital,ragnarlocker,57:50.7
Stratford University,snatch,55:41.9
Accelya,alphv,55:23.9
Apex Capital Corp,blackbyte,33:40.7
porcelanosa-usa.com,LockBit3.0,55:25.3
Vygon Spain,Vice Society,45:38.4
tier1techs.screenconnect.com,LockBit3.0,53:56.4
ospreyvideo.com,LockBit3.0,53:54.5
altaadhod.com,LockBit3.0,53:51.4
ELEFONDATI SRL - WAS HACKED. 20 GB OF SENSITIVE DATA STOLEN,lv,04:02.4
TriState HVAC Equipment,hiveleak,48:01.9
STTLK - HACKED AND MORE THEN 200GB DATA LEAKED,lv,03:24.9
vsainc.com,LockBit3.0,49:48.0
PRICEDEX.COM FILES PART12 - 10.0.10.1\E$\Shares\projects\ PUBLISHED,clop,49:30.3
NEWCOURSECC.COM FILES PART13 - 10.168.0.7\Datastore\FTP_Archive\ PUBLISHED,clop,49:28.8
ORBITELECTRIC.COM FILES PART19 - 192.168.10.109\F$\Personnel\ PUBLISHED,clop,49:27.2
FERRAN-SERVICES.COM FILES PART12 - D\Company\Accounts Payable\ PUBLISHED,clop,49:25.5
ENSSECURITY.COM FILES PART12 - 192.168.0.115\C$\Users\Sales\ PUBLISHED,clop,49:20.1
SPINNEYS.COM FILES PART4 - 10.20.50.10\F$\Retail_Finance\Private\SKN\COMMON\ PUBLISHED,clop,49:18.3
LATOURNERIE-WOLFROM.COM FILES PART12 - 10.100.57.131\C$\Users\CW\ PUBLISHED,clop,49:16.5
FTSUMNERK12.COM FILES PART12 - 192.168.0.244\StudentShare\GATE\Fikany YB\ PUBLISHED,clop,49:14.7
APPLEXUS.COM FILES PART4 - 192.168.3.15\D$\COMPANIES\Applexus Technologies\ PUBLISHED,clop,49:12.7
qualitymedicalinc.com,LockBit3.0,46:18.4
pinnick.co.uk,LockBit3.0,46:16.0
Fast Pace Health,alphv,46:10.9
centuryaluminum.com,LockBit3.0,56:50.4
besttaxfiler.com,LockBit3.0,56:48.3
beckerlaw.com,LockBit3.0,56:45.2
whitworth.edu,LockBit3.0,53:29.1
okcu.edu,LockBit3.0,53:26.9
Hot news straight from Cisco,yanluowang,48:46.1
8 Italy Districts,ransomhouse,04:50.3
ah-a.de,LockBit3.0,46:23.0
valverdehotel.com,lv,52:15.0
ISTA International GmbH,daixin,44:27.6
FOSUN.COM,LockBit3.0,44:24.6
An Insurance Company -Paid,cheers,34:50.6
An Turkey Certified Public Accountancy Firms -Unpay,cheers,34:48.0
Freyr Solutions,quantum,48:45.9
Artic Building Services,alphv,52:50.6
versma.com,LockBit3.0,08:26.2
ring-plastik.de,LockBit3.0,08:23.3
PRICEDEX.COM FILES PART11 - 10.0.10.1\E$\Shares\projects\ PUBLISHED,clop,49:32.9
NEWCOURSECC.COM FILES PART12 - 10.168.0.7\Datastore\FTP_Archive\ PUBLISHED,clop,49:31.5
ORBITELECTRIC.COM FILES PART18 - 192.168.10.109\F$\Personnel\ PUBLISHED,clop,49:29.8
FERRAN-SERVICES.COM FILES PART11 - D\Company\Accounts Payable\ PUBLISHED,clop,49:27.9
ENSSECURITY.COM FILES PART11 - 192.168.0.115\C$\Users\Sales\ PUBLISHED,clop,49:25.7
"SPINNEYS.COM FILES PART3 - 10.31.10.126, 10.31.10.153, 10.31.10.185, 10.31.10.226, 10.31.3",clop,49:23.2
LATOURNERIE-WOLFROM.COM FILES PART11 - 10.100.57.15\Trans\ PUBLISHED,clop,49:21.6
FTSUMNERK12.COM FILES PART11 - 192.168.0.244\StudentShare\ PUBLISHED,clop,49:19.1
"APPLEXUS.COM FILES PART3 - 192.168.5.136, 192.168.5.141, 192.168.5.167, 192.168.5.183, 192",clop,49:14.8
unimasters.com,LockBit3.0,58:35.3
wrschool.net,LockBit3.0,57:02.6
trialpro.com,LockBit3.0,57:00.8
newwestmetals.com,LockBit3.0,56:59.1
hatcherins.com,LockBit3.0,56:56.6
ttdwest,blackbasta,13:12.5
MAI,blackbasta,13:12.3
"Montrose Environmental Group, Inc",blackbasta,13:12.3
WALLWORKINC,blackbasta,13:12.2
paradise,blackbasta,13:12.1
WENZEL + WENZEL,blackbasta,13:12.0
Trade-Mark Industrial Inc.,blackbasta,13:12.0
CREMO,blackbasta,13:11.9
RBBUSA,blackbasta,13:11.8
BOERNER-GRUPPE,blackbasta,13:11.8
Young & Pratt,blackbasta,13:11.7
Jakob Becker,blackbasta,13:11.6
"Love, Barnes & McKew Insurance Adjusters",blackbasta,13:11.5
The O'Regan,blackbasta,13:11.4
"Blairex Laboratories, Inc.",blackbasta,13:11.4
Wilks Tire & Battery Service,blackbasta,13:11.2
UNIWELL Rohrsysteme GmbH & Co.,blackbasta,13:11.1
Grohmann Aluworks GmbH & Co,blackbasta,13:11.0
Borough of Union Beach,onyx,07:48.7
AD Consulting Group,alphv,00:52.1
SEMIKRON - EXTREMELY LOW LEVEL OF CYBERSECURITY. 2 TB OF CORPORATE DATA STOLEN,lv,00:48.6
WARTSILA DATA - ATTENTION !!!,lv,00:12.1
Liftow LTD,quantum,57:57.5
BEESENSE,quantum,57:55.5
ENN Group,hiveleak,00:30.5
STTLK,lv,52:28.7
AIIM,alphv,59:43.4
Fitzgibbon Hospital (USA),daixin,26:55.4
Trib Total Media (USA),daixin,26:53.0
Doosan Group,revil,39:59.2
tekinox.it,LockBit3.0,51:29.1
obriengroupaustralia.com.au,LockBit3.0,51:27.1
kangaroo.vn,LockBit3.0,51:25.5
MarioSinacola,alphv,51:21.1
Puma Biotechnology - decided to allow Leaks,ragnarlocker,43:59.0
casapellas.com,LockBit3.0,10:25.3
scohil.com,LockBit3.0,43:48.7
preflooring.com,LockBit3.0,43:46.1
ARISA CORREDORES DE SEGUROS,onyx,48:28.7
shopper360.com.my,LockBit3.0,52:40.4
