Post,Group,Date
FTSUMNERK12.COM FILES PART15 - 192.168.0.244\StudentShare\GATE\Fikany YB\ PUBLISHED,clop,41:35.8
APPLEXUS.COM FILES PART7 - 192.168.4.4\D$\COMPANIES\Applexus Software Solutions\HR\ PUBLIS,clop,41:34.3
SOUTH-STAFFS-WATER.CO.UK FILES PART3 - 10.80.74.230\ PUBLISHED,clop,41:32.5
PRICEDEX.COM FILES PART16 - 10.0.10.1\E$\Shares\projects\Marketing and Business\Opticat\ P,clop,41:30.5
NEWCOURSECC.COM FILES PART17 - 10.168.40.27\D$\FTP\ PUBLISHED,clop,41:28.5
FERRAN-SERVICES.COM FILES PART16 - D\Users Shared Drive\ PUBLISHED,clop,41:26.9
SPINNEYS.COM FILES PART8 - 10.20.50.10\F$\Retail_Finance\Private\SKN\COMMON\F2\2019\ PUBLI,clop,41:24.9
"LATOURNERIE-WOLFROM.COM FILES PART16 - 10.100.57.143, 10.100.57.146 PUBLISHED",clop,41:23.2
FTSUMNERK12.COM FILES PART16 - 192.168.0.244\ PUBLISHED,clop,41:21.3
APPLEXUS.COM FILES PART8 - 192.168.4.4\D$\COMPANIES\Applexus Software Solutions\ PUBLISHED,clop,41:19.3
"SOUTH-STAFFS-WATER.CO.UK FILES PART4 - EMS, F$, hydrosave, iws, onsite PUBLISHED",clop,41:17.6
"PRICEDEX.COM FILES PART17 - 10.0.10.28, 10.0.101.176 PUBLISHED",clop,41:15.7
FERRAN-SERVICES.COM FILES PART17 - D\Users Shared Drive\ PUBLISHED,clop,41:13.9
SPINNEYS.COM FILES PART9 - 10.20.50.10\F$\Retail_Finance\Private\SKN\COMMON\F2\2020\ PUBLI,clop,41:12.0
FTSUMNERK12.COM FILES PART17 - 192.168.3.206 PUBLISHED,clop,41:10.5
APPLEXUS.COM FILES PART9 - 192.168.5.8 PUBLISHED,clop,41:08.6
SOUTH-STAFFS-WATER.CO.UK FILES PART5 - water\10.80.74.23\data$\Echo\ PUBLISHED,clop,41:06.7
PRICEDEX.COM FILES PART18 - 10.0.10.137\D$\Servers\ PUBLISHED,clop,41:04.4
"FERRAN-SERVICES.COM FILES PART18 - ferran.rserfozo, ferran.SQL01 PUBLISHED",clop,41:02.5
SPINNEYS.COM FILES PART10 - 10.20.50.10\F$\Retail_Finance\Private\SKN\COMMON\F2\ PUBLISHED,clop,41:00.7
APPLEXUS.COM FILES PART10 - 192.168.7.4 PUBLISHED,clop,40:58.3
SOUTH-STAFFS-WATER.CO.UK FILES PART6 - water\10.80.74.23\data$\Echo\ PUBLISHED,clop,40:55.9
PRICEDEX.COM FILES PART19 - 10.0.10.137\D$\Servers\ PUBLISHED,clop,40:54.0
"MARCELSOLUTION.COM FILES PART1 - DC01, EPEREZ2 PUBLISHED",clop,40:52.2
SPINNEYS.COM FILES PART11 - 10.114.20.92 PUBLISHED,clop,40:50.6
SOUTH-STAFFS-WATER.CO.UK FILES PART7 - cwc PUBLISHED,clop,40:48.3
PRICEDEX.COM FILES PART20 - 10.0.10.137\D$\Servers\ PUBLISHED,clop,40:46.4
MARCELSOLUTION.COM FILES PART2 - SRVTS7 PUBLISHED,clop,40:44.4
SPINNEYS.COM FILES PART12 - 202.0.0.131 PUBLISHED,clop,40:42.0
DIPF-INTERN - Leaked,ragnarlocker,34:40.8
Wes-tec inc.,lorenz,34:34.5
Weidmuller,snatch,33:02.8
Dollmar SpA - Leaked,ragnarlocker,32:51.6
Rosenblatt Securities,quantum,40:29.2
Unimed Belem,ransomexx,45:14.1
MultiCareInc pt.3,everest,34:47.7
MultiCareInc DataBase Leak,everest,34:45.7
Stages Pediatric Care new personal data,everest,34:43.0
CSW GmbH,blackbasta,25:26.5
kingfisherinsurance.com,LockBit3.0,07:54.1
tokaisolidtire.com,LockBit3.0,40:13.3
oomiya.co.jp,LockBit3.0,40:11.0
kingteam.com.tw,LockBit3.0,40:08.3
groupesavoie.com,LockBit3.0,40:06.5
eureka-puzzle.eu,LockBit3.0,40:04.4
eeckman.eu,LockBit3.0,40:02.5
centurion.com.pl,LockBit3.0,39:59.5
castemark.tw,LockBit3.0,39:57.2
Quantumce.com,LockBit3.0,39:54.3
D?ler HACKED! More then 800 GB sensitive data LEAKED!,alphv,28:52.8
MultiCare DataBase Leak,everest,39:03.5
Electricity company / Air Defense Solutions company,everest,40:02.8
Jam Filled Entertainment,alphv,48:50.7
RecordTV,alphv,48:48.5
villajuris.be,LockBit3.0,48:17.4
tamhash.co.il,LockBit3.0,48:15.5
mk.co.th,LockBit3.0,48:12.8
kilvington.vic.edu.au,LockBit3.0,48:10.8
heronconstruction.co.nz,LockBit3.0,48:08.4
bankruptcypa.com,LockBit3.0,48:05.0
Electricity company pt.3,everest,59:59.3
Fashion company ZIGI NY - Leaked,ragnarlocker,17:55.0
nelsonautohaus.com,LockBit3.0,07:24.3
MultiCare pt.3,everest,29:09.9
marktel.es,LockBit3.0,10:02.5
martel.es,LockBit3.0,15:03.0
MERCOLA,blackbasta,14:59.3
SMART Mechanical Solutions,blackbasta,14:55.4
Quality Telecom Consultants Inc,blackbasta,14:53.4
ALFATECH,blackbasta,14:50.9
AMPORTS,blackbasta,14:48.6
Michael Sullivan & Associates,blackbasta,14:45.9
bigcenters.rs,LockBit3.0,29:30.1
mtrx.com,LockBit3.0,03:41.0
"Advanced Micro Devices, Inc",ransomhouse,43:49.6
Fairfax - Crum & Forster,ransomhouse,43:47.7
Ipca Laboratories,ransomhouse,43:45.7
Carmen Copper Corporation,ransomhouse,43:43.3
ROFA INDUSTRIAL AUTOMATION,ransomhouse,43:41.3
ADATA Technology,ransomhouse,43:39.4
Severn Glocon Group,ransomhouse,43:36.2
Stages Pediatric Care Update,everest,36:12.9
Consorci Sanitari Integral & Geseme,ransomexx,38:37.2
The Hibbert Group,alphv,41:00.1
DMCI Holding Leaked,ragnarlocker,10:50.0
TANG CAPITAL LEAKED,ragnarlocker,35:58.0
tdwood.com,LockBit3.0,38:39.3
Electricity company pt.2,everest,38:25.4
jtchapman.com,LockBit3.0,46:21.2
polycube.co.th,LockBit3.0,38:56.5
dmcinet.com,LockBit3.0,38:53.0
Shiloh Industries,blackbasta,34:07.5
RS.GOV.BR/Government Brazil,everest,33:56.1
securityalliancegroup.com,LockBit3.0,41:49.5
cedemo.com,LockBit3.0,43:04.9
dragages-ports.fr,LockBit3.0,41:23.8
buydps.com,LockBit3.0,41:21.9
alliedusa.com,LockBit3.0,41:19.2
Munic?io De Loures,hiveleak,33:32.7
Home Dynamix,alphv,34:19.2
Deutsche Saatveredelung AG,alphv,34:16.5
Notos Com,alphv,34:13.8
dialog.com.au,qilin,43:11.7
scinopharm.com,qilin,43:10.0
robertbernard.com,qilin,43:08.4
contempocard.com,qilin,43:06.8
lojastorra.com.br,qilin,43:05.3
www.emtelco.com.co,qilin,43:01.6
Electricity company,everest,21:54.2
"SPERONI S.P.A / Data Lamborghini, Ferrari, Fiat Group, VAG, Brembo",everest,30:10.7
NJVC [ post has been updated ],alphv,34:41.7
Clarion Communication Management Ltd,alphv,34:39.9
Knoll,alphv,34:38.0
Pinnacle Incorporated,alphv,34:35.5
The UNITED GRINDING Group,blackbasta,39:12.0
MultiCare pt.2,everest,39:01.5
Rundle Eye Care,everest,28:09.4
Empower Insurance,snatch,32:53.5
Unicity,snatch,32:51.8
Oil India Limited,snatch,32:49.7
apunipima.org.au,LockBit3.0,51:20.0
Willemen Group,blackbasta,51:17.2
OPPLE Lighting,snatch,51:08.8
Avalon luxury transport company - Leaked,ragnarlocker,59:23.5
Veritas Solicitors,bianlian,51:02.9
Meisenkothen,bianlian,51:01.3
Dorsey metrology,bianlian,50:59.6
BMW of Sherman Oaks,bianlian,50:57.9
McGann Facial Design,bianlian,50:56.4
Mayfield School,bianlian,50:55.0
Peter Duffy Ltd,bianlian,50:53.2
"Sunflower Farms Distributors, Inc",bianlian,50:51.5
Aarti Drugs Ltd,bianlian,50:49.7
Berg Kaprow Lewis,bianlian,50:48.0
"Company, LLC",bianlian,50:46.1
derach,bianlian,50:44.7
Seanic Ocean Systems,bianlian,50:43.1
Bartelt,bianlian,50:41.0
Rick Shipman Construction,blackbasta,45:44.5
Gate Precast,blackbasta,45:42.1
AudioQuest Data Leaked,ragnarlocker,34:30.7
Malayan Flour Mills Bhd. Data Leak,ragnarlocker,34:27.8
PENDULUM ASSOCIATES HACKED AND MORE THEN 2 TB SENSITIVE DATA LEAKED,alphv,27:52.3
ASSOCIATED RETAILERS LIMITED HACKED MORE THEN 500G SENSITIVE DATA LEAKED,alphv,27:50.3
NJVC [ post has been updated - 2 Oct.],alphv,27:48.7
Midwest Petroleum,alphv,27:47.3
Simex Defence Inc,alphv,27:45.3
Ferrari,ransomexx,27:38.3
MultiCare Home Health,everest,28:36.0
Aesthetic Dermatology Associates,bianlian,40:19.6
Swiss American,blackbyte,40:00.7
Almoayed ICT,blackbyte,39:58.4
Bombardier Recreational Products (BRP) - SOURCE CODES,ransomexx,37:47.2
seaviewresortkhaolak.com,LockBit3.0,44:54.6
